adm4_pcode,rwi_max,rwi_mean,rwi_min
PH137401006,0.790968908,0.771020265,0.756655029
PH137401007,0.738880612,0.71728114,0.695681669
PH137401007,0.738502418,0.717075148,0.695647878
PH137401007,0.738382482,0.709553113,0.680723744
PH137401007,0.738382482,0.710590299,0.682798115
PH137401007,0.791051573,0.786304381,0.781557189
PH137401007,0.804374,0.796571711,0.788769422
PH137401007,0.806704284,0.739187232,0.671670179
PH137401008,0.674854771,0.668178796,0.661502821
PH137401008,0.674854771,0.668700229,0.662545687
PH137401008,0.675501955,0.669717961,0.663933967
PH137401008,0.683554777,0.67457202,0.665589262
PH137401008,0.746259746,0.7412615,0.736263255
PH137401008,0.777194926,0.764799033,0.752403139
PH137401008,0.769116771,0.761407609,0.753698446
PH137401009,0.695681669,0.695681669,0.695681669
PH137401009,0.695647878,0.695647878,0.695647878
PH137401009,0.680723744,0.680723744,0.680723744
PH137401009,0.682798115,0.682798115,0.682798115
PH137401009,0.781557189,0.781557189,0.781557189
PH137401009,0.788769422,0.788769422,0.788769422
PH137401009,0.671670179,0.671670179,0.671670179
PH137401010,0.738880612,0.700693589,0.667518487
PH137401010,0.738502418,0.700394692,0.667033778
PH137401010,0.738382482,0.695235655,0.666600739
PH137401010,0.738382482,0.695936787,0.666629762
PH137401010,0.791051573,0.754015818,0.689438692
PH137401010,0.804374,0.793685123,0.787911946
PH137401010,0.806704284,0.75513371,0.671670179
PH137401011,0.705725808,0.686622148,0.667518487
PH137401011,0.701359986,0.684196882,0.667033778
PH137401011,0.698339071,0.682469905,0.666600739
PH137401011,0.69804482,0.682337291,0.666629762
PH137401011,0.721018119,0.705228405,0.689438692
PH137401011,0.789230114,0.78857103,0.787911946
PH137401011,0.795771434,0.791399051,0.787026668
PH137401012,0.695681669,0.695681669,0.695681669
PH137401012,0.695647878,0.695647878,0.695647878
PH137401012,0.680723744,0.680723744,0.680723744
PH137401012,0.682798115,0.682798115,0.682798115
PH137401012,0.781557189,0.781557189,0.781557189
PH137401012,0.788769422,0.788769422,0.788769422
PH137401012,0.671670179,0.671670179,0.671670179
PH137401013,0.732910898,0.686075058,0.661502821
PH137401013,0.732910898,0.687216038,0.662327907
PH137401013,0.732910898,0.686908623,0.662327907
PH137401013,0.732910898,0.68811341,0.662327907
PH137401013,0.773282857,0.752813175,0.736263255
PH137401013,0.791526108,0.768602716,0.742542133
PH137401013,0.789295848,0.76869489,0.753698446
PH137401014,0.706541398,0.678007094,0.643820805
PH137401014,0.706541398,0.67838571,0.643429481
PH137401014,0.706541398,0.679836154,0.643429481
PH137401014,0.706541398,0.679624035,0.643820805
PH137401014,0.745959557,0.722322156,0.6848522
PH137401014,0.803072826,0.791113894,0.777202556
PH137401014,0.794868804,0.788553935,0.77827689
PH137401015,0.730300931,0.711480291,0.692659651
PH137401015,0.723121354,0.709167853,0.695214352
PH137401015,0.723121354,0.708734563,0.694347771
PH137401015,0.723121354,0.706864984,0.690608614
PH137401015,0.754799068,0.750667672,0.746536276
PH137401015,0.801226126,0.796112437,0.790998748
PH137401015,0.810749449,0.796893172,0.783036894
PH137401016,0.732910898,0.68945468,0.661502821
PH137401016,0.732910898,0.691096413,0.662545687
PH137401016,0.732910898,0.691387194,0.663933967
PH137401016,0.732910898,0.692773589,0.665589262
PH137401016,0.767824837,0.746212177,0.719255523
PH137401016,0.791526108,0.771381013,0.752403139
PH137401016,0.790968908,0.770884589,0.753698446
PH137401017,0.732910898,0.70239896,0.66320683
PH137401017,0.732910898,0.703060225,0.662938896
PH137401017,0.732910898,0.702105159,0.662938896
PH137401017,0.735742631,0.702589336,0.662938896
PH137401017,0.767824837,0.745001805,0.720669637
PH137401017,0.791526108,0.776497856,0.756758279
PH137401017,0.795771434,0.775799146,0.756655029
PH137401018,0.772375323,0.722788252,0.692659651
PH137401018,0.775885659,0.722605747,0.695214352
PH137401018,0.772375323,0.721511517,0.694347771
PH137401018,0.764576803,0.718625456,0.690608614
PH137401018,0.807300013,0.77573815,0.746536276
PH137401018,0.824371909,0.803802975,0.790998748
PH137401018,0.817270307,0.800828376,0.783036894
PH137401019,0.738880612,0.700738734,0.667518487
PH137401019,0.738502418,0.700579273,0.667033778
PH137401019,0.738382482,0.700394947,0.666600739
PH137401019,0.738382482,0.700402432,0.666629762
PH137401019,0.794317243,0.75826917,0.689438692
PH137401019,0.804374,0.796967021,0.787911946
PH137401019,0.806704284,0.795329269,0.787026668
PH137401020,0.738880612,0.706556652,0.675124963
PH137401020,0.738502418,0.705632942,0.675124963
PH137401020,0.738382482,0.705273487,0.674314207
PH137401020,0.738382482,0.704726704,0.675326015
PH137401020,0.794317243,0.754311272,0.6848522
PH137401020,0.804374,0.797984913,0.790998748
PH137401020,0.810749449,0.796569724,0.783036894
PH137401021,0.738880612,0.72162107,0.695681669
